bussinessZones,city,cityPositionCounts,companyName,companySize,district,education,financeStage,industryField,positionID,positionLables,positionName,positionType1,postionType2,salary,workYear
NULL,上海,476,上海奕尚网络信息有限公司,150-500人,长宁区,大专,不需要融资,电子商务,4018734,"['电商', 'SPSS', '数据管理']",数据分析,开发/测试/运维类,数据开发,4k-6k,不限
['张江'],上海,476,上海礼友信息技术服务有限公司,150-500人,浦东新区,本科,B轮,"移动互联网,生活服务",3554165,"['媒体', '编辑', '策划', '新闻']",数据分析专员,产品/需求/项目类,数据分析,6k-8k,1-3年
"['广中路', '柳营路', '共和新路', '广中路', '柳营路', '共和新路', '广中路', '柳营路', '共和新路']",上海,476,上海食亨实业发展有限公司,15-50人,虹口区,本科,未融资,"电子商务,O2O",3908894,"['电商', '大数据', '可视化', '统计']",数据分析师,产品/需求/项目类,数据分析,6k-8k,1-3年
['张江'],上海,476,美味不用等（上海）信息科技股份有限公司,500-2000人,浦东新区,本科,C轮,"移动互联网,O2O",4035508,"['大数据', '数据挖掘']",数据分析师（市场方向）,开发/测试/运维类,数据开发,8k-10k,1-3年
NULL,上海,476,北京京东世纪贸易有限公司,2000人以上,长宁区,本科,上市公司,电子商务,3756557,"['资深', '高级', '大数据', '可视化', '业务运营']",数据分析师,产品/需求/项目类,数据分析,15k-30k,3-5年
"['外滩', '南京东路', '七浦路', '外滩', '南京东路', '七浦路']",上海,476,上海浅深休闲酒店管理有限公司,2000人以上,黄浦区,本科,未融资,生活服务,3437563,"['金融', '电商', '资深', '高级', '软件开发', 'SAAS']",数据分析，数据产品,开发/测试/运维类,软件开发,15k-30k,3-5年
"['交通大学', '徐家汇', '淮海西路']",上海,476,百姓网股份有限公司,500-2000人,徐汇区,本科,上市公司,移动互联网,3942556,"['金融', '数据挖掘', 'SPSS']",数据分析师,产品/需求/项目类,数据分析,9k-18k,1-3年
NULL,上海,476,上海维格娜丝时装有限公司,2000人以上,闵行区,大专,上市公司,企业服务,4018002,"['市场', 'SPSS', '数据管理']",数据分析专员,市场/商务/销售类,市场/营销,5k-6k,1-3年
NULL,上海,476,上海东方明珠新媒体股份有限公司,500-2000人,徐汇区,本科,上市公司,"移动互联网,游戏",4093960,"['电商', '高级', '大数据', '商业', '数据挖掘']",电商数据分析师,产品/需求/项目类,数据分析,15k-20k,3-5年
"['长征', '金沙江路', '长风公园']",上海,476,拉扎斯网络科技（上海）有限公司,2000人以上,普陀区,本科,D轮及以上,移动互联网,3700428,"['总监', '资深', '商业', '业务运营']",高级数据分析专家,产品/需求/项目类,数据分析,20k-40k,3-5年
"['复旦大学', '四平路']",上海,476,上海同济城市规划设计研究院,150-500人,杨浦区,硕士,未融资,其他,4098581,"['数据挖掘', '机器学习', '深度学习', '人工智能', '大数据']",数据分析师,开发/测试/运维类,数据开发,8k-15k,1年以下
['虹桥'],上海,476,上海聪见企业管理咨询有限公司,15-50人,长宁区,本科,未融资,"企业服务,数据服务",4032105,"['高级', 'BI', '数据挖掘', 'SPSS']",数据分析师,产品/需求/项目类,数据分析,17k-33k,1-3年
"['徐家汇', '徐家汇', '肇嘉浜路', '肇嘉浜路', '肇嘉浜路', '肇嘉浜路']",上海,476,上海慧贤网络科技有限公司,50-150人,徐汇区,本科,A轮,移动互联网,3390874,"['借贷', '建模', '大数据', '数据挖掘', '算法']",高级数据分析师,金融类,风控,20k-35k,3-5年
"['唐镇', '曹路', '唐镇', '曹路', '唐镇', '曹路']",上海,476,招商银行股份有限公司信用卡中心,2000人以上,浦东新区,本科,上市公司,"移动互联网,金融",3908680,"['本地生活', '高级', '中级', '数据挖掘', 'SPSS']",数据分析岗(O2O),开发/测试/运维类,数据开发,15k-25k,3-5年
"['新闸路', '静安寺', '曹家渡']",上海,476,北京爱论答科技有限公司,150-500人,静安区,本科,A轮,"移动互联网,教育",4073346,"['大数据', '统计', '数据管理']",业务数据分析专员/数据助理,开发/测试/运维类,数据开发,6k-8k,1-3年
"['花木', '陆家嘴', '塘桥']",上海,476,上海聚力传媒技术有限公司,500-2000人,浦东新区,本科,D轮及以上,文化娱乐,3005608,"['直播', '大数据', '数据挖掘', 'SPSS', 'sas']",数据分析师（龙珠直播）,开发/测试/运维类,数据开发,10k-20k,3-5年
"['淮海路', '新天地', '人民广场']",上海,476,上海克顿文化传媒有限公司,150-500人,黄浦区,本科,上市公司,文化娱乐,2680157,"['中级', '数据挖掘']",数据分析/挖掘工程师,开发/测试/运维类,数据开发,15k-25k,1-3年
